track_id,file_name,song_title,artist_name,genre,emotion_category,emotion_subcategory,contributor,standardized_audio_path,standardized_image_path,lyrics_path,congruence_audio_visual,congruence_audio_lyric,master_congruence,z_audio_visual,z_audio_lyric,master_congruence_z
track_131,the-way-things-go.wav,The Way Things Go,beabadoobee,"Rock [Alternative, Indie, Punk, Grunge, Classic Rock]","Sadness, Loss & Lament",Bittersweet / Nostalgic,Sabria,01_Processed_Data/audio/track_131.wav,01_Processed_Data/images/track_131.jpg,01_Processed_Data/lyrics/track_131.txt,0.15323496,0.1339872,0.14361107,-0.39646378,-0.070391335,-0.23342755
track_132,thinking-clean.wav,Thinking Clean,Blood Orange,"R&B / Soul [Contemporary R&B, Neo-soul, Funk, Motown, Blues, Reggae]","Dreaminess, Curiosity & Ambiguity",Conflicted / Mixed,Sabria,01_Processed_Data/audio/track_132.wav,01_Processed_Data/images/track_132.jpg,01_Processed_Data/lyrics/track_132.txt,0.22081514,0.13316762,0.17699137,0.6181719,-0.08392728,0.2671223
track_133,this-time.wav,This Time,Jeff Bernat,"R&B / Soul [Contemporary R&B, Neo-soul, Funk, Motown, Blues, Reggae]",Tender & Intimacy,Erotic / Sensual,Jazlyn,01_Processed_Data/audio/track_133.wav,01_Processed_Data/images/track_133.jpg,01_Processed_Data/lyrics/track_133.txt,0.23635057,0.14610662,0.1912286,0.8514178,0.12976977,0.4905938
track_134,tit-for-tat.wav,TIT FOR TAT,Tate McRae,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]","Tension, Threat & Aggression",Angry / Aggressive,Olivia,01_Processed_Data/audio/track_134.wav,01_Processed_Data/images/track_134.jpg,01_Processed_Data/lyrics/track_134.txt,0.28242847,0.13297485,0.20770165,1.5432224,-0.08711113,0.72805566
track_135,too-good-at-goodbyes.wav,Too Good At Goodbyes,Sam Smith,"R&B / Soul [Contemporary R&B, Neo-soul, Funk, Motown, Blues, Reggae]","Sadness, Loss & Lament",Melancholic / Brooding,Jazlyn,01_Processed_Data/audio/track_135.wav,01_Processed_Data/images/track_135.jpg,01_Processed_Data/lyrics/track_135.txt,0.17180222,0.13336891,0.15258557,-0.117698506,-0.080602914,-0.09915071
track_136,too-sweet.wav,Too Sweet,Hozier,"R&B / Soul [Contemporary R&B, Neo-soul, Funk, Motown, Blues, Reggae]",Vital & Joyful,Amused / Playful,Jiexin,01_Processed_Data/audio/track_136.wav,01_Processed_Data/images/track_136.jpg,01_Processed_Data/lyrics/track_136.txt,0.18605286,0.11143121,0.14874204,0.09625777,-0.4429203,-0.17333126
track_137,unstoppable.wav,Unstoppable,Sia,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]",Vital & Joyful,Triumphant / Victorious,Jiexin,01_Processed_Data/audio/track_137.wav,01_Processed_Data/images/track_137.jpg,01_Processed_Data/lyrics/track_137.txt,0.19355164,0.15447849,0.17401507,0.20884308,0.2680375,0.23844029
track_138,valder-fields.wav,Valder Fields,Tamas Wells,"Folk / Acoustic [Singer-songwriter, Traditional Folk, Americana]","Awe, Beauty & Transcendence",Peaceful / Relaxed,Olivia,01_Processed_Data/audio/track_138.wav,01_Processed_Data/images/track_138.jpg,01_Processed_Data/lyrics/track_138.txt,0.0946468,0.07637301,0.085509904,-1.276095,-1.0219325,-1.1490138
track_139,viva-la-vida.wav,Viva La Vida,Coldplay,"Rock [Alternative, Indie, Punk, Grunge, Classic Rock]",Vital & Joyful,Triumphant / Victorious,Jazlyn,01_Processed_Data/audio/track_139.wav,01_Processed_Data/images/track_139.jpg,01_Processed_Data/lyrics/track_139.txt,0.08830686,0.11289206,0.10059946,-1.3712816,-0.41879326,-0.8950374
track_140,wake-me-up-before-you-go-go.wav,Wake Me Up Before You Go-Go,Wham!,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]",Vital & Joyful,Amused / Playful,Bowen,01_Processed_Data/audio/track_140.wav,01_Processed_Data/images/track_140.jpg,01_Processed_Data/lyrics/track_140.txt,0.20865224,0.15319863,0.18092543,0.43556052,0.24689965,0.3412301
track_141,warm-sound.wav,Warm Sound,Zero 7,"Electronic [EDM, House, Techno, Dubstep, Trance]","Dreaminess, Curiosity & Ambiguity",Curious / Intrigued,Bowen,01_Processed_Data/audio/track_141.wav,01_Processed_Data/images/track_141.jpg,01_Processed_Data/lyrics/track_141.txt,0.10209848,0.058238976,0.080168724,-1.1642169,-1.3214296,-1.2428232
track_142,watching-him-fade-away.wav,Watching Him Fade Away,Mac DeMarco,"Rock [Alternative, Indie, Punk, Grunge, Classic Rock]","Sadness, Loss & Lament",Grief-stricken / Mourning,Sabria,01_Processed_Data/audio/track_142.wav,01_Processed_Data/images/track_142.jpg,01_Processed_Data/lyrics/track_142.txt,0.15229574,0.19367704,0.17298639,-0.41056505,0.9154306,0.25243276
track_143,water.wav,Water,Tyla,"R&B / Soul [Contemporary R&B, Neo-soul, Funk, Motown, Blues, Reggae]",Tender & Intimacy,Erotic / Sensual,Sabria,01_Processed_Data/audio/track_143.wav,01_Processed_Data/images/track_143.jpg,01_Processed_Data/lyrics/track_143.txt,0.36522746,0.13027017,0.24774882,2.7863503,-0.13178092,1.3272847
track_144,we-dont-count.wav,We Don't Count,Yves Tumor ft. Nina,"R&B / Soul [Contemporary R&B, Neo-soul, Funk, Motown, Blues, Reggae]","Tension, Threat & Aggression",Tense / Agitated,Sabria,01_Processed_Data/audio/track_144.wav,01_Processed_Data/images/track_144.jpg,01_Processed_Data/lyrics/track_144.txt,0.26592445,0.0713353,0.16862988,1.2954344,-1.105134,0.09515017
track_145,welcome-to-my-nightmare.wav,Welcome to My Nightmare,Alice Cooper,"Rock [Alternative, Indie, Punk, Grunge, Classic Rock]","Tension, Threat & Aggression",Fearful / Scary,Bowen,01_Processed_Data/audio/track_145.wav,01_Processed_Data/images/track_145.jpg,01_Processed_Data/lyrics/track_145.txt,0.1053271,0.08531006,0.09531858,-1.115743,-0.8743306,-0.99503684
track_146,what-was-i-made-for.wav,What Was I Made For?,Billie Eilish,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]","Sadness, Loss & Lament",Melancholic / Brooding,Jiexin,01_Processed_Data/audio/track_146.wav,01_Processed_Data/images/track_146.jpg,01_Processed_Data/lyrics/track_146.txt,0.15533473,0.1837002,0.16951746,-0.3649383,0.75065583,0.19285877
track_147,why-i-love-you.wav,Why I Love You,Jay-Z,"Hip-Hop [Rap, Trap, Boom Bap, Lo-fi, Grime]","Dreaminess, Curiosity & Ambiguity",Conflicted / Mixed,Sabria,01_Processed_Data/audio/track_147.wav,01_Processed_Data/images/track_147.jpg,01_Processed_Data/lyrics/track_147.txt,0.06859518,0.03152355,0.050059363,-1.6672289,-1.7626545,-1.7149417
track_148,wicked-game.wav,Wicked Game,Chris Isaak,"Rock [Alternative, Indie, Punk, Grunge, Classic Rock]",Tender & Intimacy,Erotic / Sensual,Bowen,01_Processed_Data/audio/track_148.wav,01_Processed_Data/images/track_148.jpg,01_Processed_Data/lyrics/track_148.txt,0.055196725,0.053551853,0.05437429,-1.8683907,-1.3988409,-1.6336157
track_149,young-and-beautiful.wav,Young and Beautiful,Lana Del Rey,"Rock [Alternative, Indie, Punk, Grunge, Classic Rock]","Awe, Beauty & Transcendence",Beautiful / Aesthetic Appreciation,Olivia,01_Processed_Data/audio/track_149.wav,01_Processed_Data/images/track_149.jpg,01_Processed_Data/lyrics/track_149.txt,0.17404157,0.12877667,0.15140912,-0.08407739,-0.15644717,-0.12026228
track_150,zen.wav,Zen,JENNIE,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]","Awe, Beauty & Transcendence",Transcendent / Spiritual,Olivia,01_Processed_Data/audio/track_150.wav,01_Processed_Data/images/track_150.jpg,01_Processed_Data/lyrics/track_150.txt,0.19399482,0.056662228,0.12532853,0.21549684,-1.3474706,-0.5659869
